Time,iGlob,tOut,vpOut,co2Out,wind,tSky,tSoOut,dayRadSum,isDay,isDaySmooth,hElevation
Time since start of data,Outdoor global solar radiation,Outdoor temperature,Outdoor vapor pressure,Outdoor CO2 concentration,Outdoor wind speed,Apparent sky temperature,Soil temperature at 2 m depth,Daily sum of outdoor global solar radiation,Switch determining if it is day or night. Used for control purposes,Smooth switch determining if it is day or night. Used for control purposes,Elevation at location
s,W m**-2,°C,Pa,mg m**-3,m s**-1,°C,°C,MJ m**-2,-,-,m above sea level
540000,0.0,4.0,495.482341946243,812.8162326675464,9.8,-30.671075038896646,2.1632387968773417,9.1764,0.0,0.0,1612.0
543600,0.0,5.0,496.4670972912084,809.8940100083065,6.7,-30.671075038896646,2.161309845215311,9.1764,0.0,0.0,1612.0
547200,82.0,5.0,444.2074028395023,809.8940100083065,11.8,-29.4432943993568,2.1593847226211853,9.1764,1.0,1.0,1612.0
550800,216.0,1.2,293.0325051469525,821.1117874387115,10.3,-27.04195315036381,2.157463430085591,9.1764,1.0,1.0,1612.0
554400,317.0,5.7,338.2918768149921,807.8609248119436,9.3,-23.283491364033864,2.1555459685971776,9.1764,1.0,1.0,1612.0
558000,387.0,8.0,310.37614259490636,801.2520678776825,9.3,-15.97846311053405,2.1536323391426295,9.1764,1.0,1.0,1612.0
561600,419.0,8.0,310.37614259490636,801.2520678776825,5.1,-17.284607600902348,2.151722542706656,9.1764,1.0,1.0,1612.0
565200,414.0,7.1,251.6619918616039,803.8252234926331,5.1,-15.204229956164454,2.149816580271999,9.1764,1.0,1.0,1612.0
568800,362.0,10.0,281.6221547643389,795.5925088603584,6.2,-20.230697010514575,2.1479144528194176,9.1764,1.0,1.0,1612.0
572400,235.0,8.0,310.37614259490636,801.2520678776825,2.6,-20.503681005645547,2.1460161613277062,9.1764,1.0,1.0,1612.0
576000,99.0,7.0,339.92845116332325,804.1121502188488,10.3,-18.344114382954416,2.144121706773686,9.1764,1.0,1.0,1612.0
579600,18.0,5.6,308.7205678473122,808.1507403903513,12.4,-23.00131529769797,2.142231090132195,9.1764,1.0,1.0,1612.0
583200,0.0,6.0,336.0370695164294,806.9927239255256,8.8,-23.00131529769797,2.1403443123761043,9.1764,0.0,0.0,1612.0
